cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,1000025635039,[삼양]까르보불닭볶음면 520g(130gx4개입),"3,980",(1개당:995원),별점 4.92점,"(16,153개)"
6000098014,면류/즉석식품/소스/오일,0000006609536,[청정원] 생강&매실 맛술 410ml,"2,100",(100ml당:513원),별점 4.91점,"(27,954개)"
6000098014,면류/즉석식품/소스/오일,0000006609759,[동원 F&B] 참치 라이트 스탠다드 35호 (100g*3개),"5,980",(10g당:200원),별점 4.93점,"(30,992개)"
6000098014,면류/즉석식품/소스/오일,0000006823729,CJ백설 올리고당700g,"2,800",(100g당:400원),별점 4.94점,"(18,451개)"
6000098014,면류/즉석식품/소스/오일,1000025958930,[삼양]큰컵 까르보불닭볶음면105g,980,(1개당:980원),별점 4.93점,"(17,924개)"
6000098014,면류/즉석식품/소스/오일,0000007216305,[해표] 식용유 1.8L+500ml,"6,950",(100ml당:303원),별점 4.94점,"(21,445개)"
6000098014,면류/즉석식품/소스/오일,0000008083461,[청정원] 이탈리아정통스파게티면 500g,"2,280",(100g당:456원),별점 4.93점,"(16,304개)"
6000098014,면류/즉석식품/소스/오일,0000006610161,순창 양념듬뿍쌈장 500g,"3,900",(100g당:780원),별점 4.93점,"(21,752개)"
6000098014,면류/즉석식품/소스/오일,0000008797938,[오뚜기] 허니 머스타드 소스 265g,"1,980",(100g당:748원),별점 4.94점,"(33,223개)"
6000098014,면류/즉석식품/소스/오일,0000006609550,오뚜기 3분 쇠고기 카레 200g,950,(100g당:475원),별점 4.92점,"(37,156개)"
6000098014,면류/즉석식품/소스/오일,0000008333637,[농심] 짜파게티 범벅 (70g6입),"4,200",(1개당:700원),별점 4.94점,"(29,107개)"
6000098014,면류/즉석식품/소스/오일,0000006609565,오뚜기 3분 카레 약간매운맛 200g,950,(100g당:475원),별점 4.94점,"(21,414개)"
6000098014,면류/즉석식품/소스/오일,0000006609236,[백설]  하얀설탕 (1kg),"1,680",(100g당:168원),별점 4.94점,"(37,387개)"
6000098014,면류/즉석식품/소스/오일,0000006609437,[오뚜기] 부침가루 1kg,"2,450",(100g당:245원),별점 4.94점,"(20,401개)"
6000098014,면류/즉석식품/소스/오일,0000006609426,[오뚜기] 골드 마요네즈 500g,"3,680",(100g당:736원),별점 4.95점,"(36,576개)"
6000098014,면류/즉석식품/소스/오일,0000006609769,[동원] 부드러운스위트콘 340g,"1,250",(10g당:37원),별점 4.92점,"(22,729개)"
6000098014,면류/즉석식품/소스/오일,0000006614764,오뚜기 백세카레약간매운맛 100g,"2,480","(100g당:2,480원)",별점 4.93점,"(36,276개)"
6000098014,면류/즉석식품/소스/오일,0000008077022,[청정원] 요리통후추그라인더 35g,"5,340","(10g당:1,526원)",별점 4.91점,"(10,648개)"
6000098014,면류/즉석식품/소스/오일,1000045173411,농심 신라면건면사발 4입,"3,968","(1개당:3,968원)",별점 4.87점,"(1,824개)"
6000098014,면류/즉석식품/소스/오일,1000030798202,CJ백설 포도씨유 900ml×2,"10,900",(100ml당:606원),별점 4.94점,"(10,005개)"
6000098014,면류/즉석식품/소스/오일,1000023955947,[노브랜드]핫칠리소스440g,"2,880",(100g당:655원),별점 4.89점,"(8,391개)"
6000098014,면류/즉석식품/소스/오일,0000006609544,[오뚜기] 옛날 국수 소면 900g,"1,980",(100g당:220원),별점 4.94점,"(37,729개)"
6000098014,면류/즉석식품/소스/오일,1000023586862,노브랜드 비빔쫄면420g,"3,180",(100g당:758원),별점 4.82점,"(9,088개)"
6000098014,면류/즉석식품/소스/오일,1000034853956,노브랜드 감자맛전분99.9 350g,"2,580",(100g당:738원),별점 4.93점,"(5,557개)"
6000098014,면류/즉석식품/소스/오일,0000006609553,오뚜기 3분 쇠고기 짜장 200g,950,(100g당:475원),별점 4.92점,"(32,288개)"
6000098014,면류/즉석식품/소스/오일,1000005488219,[대체코] 링귀니 파스타 500g,"2,980",(100g당:596원),별점 4.93점,"(4,958개)"
6000098014,면류/즉석식품/소스/오일,1000004512122,[SAJO] 사조참치 안심따개100g*8입(살코기마일드+마일드참치),"10,000",(10g당:125원),별점 4.94점,"(13,973개)"
6000098014,면류/즉석식품/소스/오일,0000008333619,[농심] 사리곰탕면 (110gx5입),"3,850",(1개당:770원),별점 4.92점,"(23,698개)"
6000098014,면류/즉석식품/소스/오일,1000050494228,CJ 햇반 210g*10,"10,480",(100g당:500원),별점 4.95점,"(1,399개)"
6000098014,면류/즉석식품/소스/오일,1000047906482,팔도일품삼선짜장120g*4입,"2,144",(1개당:536원),별점 4.76점,"(2,297개)"
6000098014,면류/즉석식품/소스/오일,0000008410642,[백설] 제일제면소 소면 900g,"1,880",(100g당:209원),별점 4.93점,"(20,390개)"
6000098014,면류/즉석식품/소스/오일,1000043147994,오뚜기 참깨라면 4입 멀티,"3,600",(1개당:900원),별점 4.94점,"(4,345개)"
6000098014,면류/즉석식품/소스/오일,0000008531750,[농심] 튀김 우동 컵 (62g6입),"4,500",(1개당:750원),별점 4.94점,"(30,512개)"
6000098014,면류/즉석식품/소스/오일,0000006609408,[샘표] 진간장 금F3 (500ml),"3,980",(100ml당:796원),별점 4.94점,"(24,526개)"
6000098014,면류/즉석식품/소스/오일,1000018819263,[청정원] 쉐프의치킨스톡 340g,"6,950","(100g당:2,045원)",별점 4.9점,"(5,730개)"
6000098014,면류/즉석식품/소스/오일,0000007938700,[해찬들] 우리쌀로 만든 태양초 골드 고추장 1kg,"14,700","(100g당:1,470원)",별점 4.92점,"(6,359개)"
6000098014,면류/즉석식품/소스/오일,1000024522086,[Heinz]하인즈 토마토케찹 910g,"5,480",(100g당:603원),별점 4.94점,"(8,615개)"
6000098014,면류/즉석식품/소스/오일,0000008118091,CJ백설 허브맛솔트 50g(순한맛),"1,980","(100g당:3,960원)",별점 4.94점,"(14,403개)"
6000098014,면류/즉석식품/소스/오일,1000018599562,[노브랜드] 살코기 참치 통조림 150g*3입,"5,580",(10g당:124원),별점 4.9점,"(16,881개)"
6000098014,면류/즉석식품/소스/오일,0000006617477,오뚜기 백세카레순한맛 100g,"2,480","(100g당:2,480원)",별점 4.95점,"(39,375개)"
6000098014,면류/즉석식품/소스/오일,0000008117948,데체코 바질 페스토 200g,"4,980","(100g당:2,490원)",별점 4.87점,"(5,195개)"
6000098014,면류/즉석식품/소스/오일,0000006610093,[오뚜기] 짜장 분말 100g,"2,080","(100g당:2,080원)",별점 4.94점,"(29,360개)"
